Provincia,Partido,Localidad,Link Indec, ADSL , CABLEMODEM , DIAL UP , FIBRA OPTICA , OTROS , SATELITAL , WIMAX , WIRELESS , Total general ,
CHACO,General Güemes,El Sauzalito,22063030, -   , -   , -   , -   , -   , 1 , -   , 120 , 121 ,
CHACO,General Güemes,Fortín Lavalle,22063040, -   , -   , -   , -   , -   , -   , -   , 36 , 36 ,
CHACO,General Güemes,Fuerte Esperanza,22063050, -   , -   , -   , 8 , -   , 1 , -   , -   , 9 ,
CHACO,General Güemes,Juan José Castelli,22063060, 423 , -   , -   , 294 , -   , -   , -   , 646 ," 1,363 ",
CHACO,General Güemes,Miraflores,22063070, -   , -   , -   , -   , -   , -   , -   , 712 , 712 ,
CHACO,General Güemes,Nueva Pompeya,22063080, -   , -   , -   , 1 , -   , 4 , -   , 308 , 313 ,
CHACO,General Güemes,Villa Río Bermejito,22063100, 4 , -   , -   , 194 , -   , 2 , -   , 222 , 422 ,
CHACO,General Güemes,Wichi,22063110, -   , -   , -   , -   , -   , 1 , -   , 91 , 92 ,
CHACO,Independencia,Avia Terai,22070010, 62 , -   , -   , 42 , -   , 1 , -   , 1 , 106 ,
CHACO,Independencia,Campo Largo,22070020, 93 , -   , -   , 482 , 3 , -   , -   , -   , 578 ,
CHACO,Libertad,Laguna Blanca,22077030, -   , -   , -   , -   , -   , 2 , -   , 6 , 8 ,
CHACO,Libertad,Puerto Tirol,22077040, 428 , 1 , -   , 375 , -   , -   , -   , 73 , 877 ,
CHACO,Libertad,Colonia Popular,22077010, -   , -   , -   , -   , -   , -   , -   , 5 , 5 ,
CHACO,Libertador General San Martín,Ciervo Petiso,22084010, -   , -   , -   , -   , 46 , 1 , -   , -   , 47 ,
CHACO,Libertador General San Martín,General José de San Martín,22084020, 184 , 539 , -   ," 5,808 ", -   , -   , -   , 450 ," 6,981 ",
CHACO,Libertador General San Martín,La Eduvigis,22084030, -   , -   , -   , -   , -   , 1 , -   , -   , 1 ,
CHACO,Libertador General San Martín,Laguna Limpia,22084040, -   , -   , -   , -   , -   , -   , -   , 81 , 81 ,
CHACO,Libertador General San Martín,Pampa Almirón,22084050, -   , -   , -   , 26 , -   , -   , -   , 27 , 53 ,
CHACO,Libertador General San Martín,Pampa del Indio,22084060, -   , -   , -   , 25 , -   , 2 , -   , 515 , 542 ,
CHACO,Libertador General San Martín,Presidencia Roca,22084070, -   , -   , -   , 484 , -   , 2 , -   , 119 , 605 ,
CHACO,Maipú,Tres Isletas,22091010, 271 , -   , -   , -   , -   , -   , -   , 57 , 328 ,
CHACO,Mayor Luis J. Fontana,Coronel Du Graty,22098010, 122 , 73 , -   , 264 , -   , 1 , -   , 516 , 976 ,
CHACO,Mayor Luis J. Fontana,Enrique Urién,22098020, -   , -   , -   , 37 , -   , -   , -   , -   , 37 ,
CHACO,Mayor Luis J. Fontana,Villa Angela,22098030," 1,074 ", -   , -   ," 4,805 ", -   , -   , -   , 402 ," 6,281 ",
CHACO,O Higgins,La Clotilde,22112010, -   , 32 , -   , 78 , 116 , 1 , -   , -   , 227 ,
CHACO,O Higgins,La Tigra,22112020, 1 , -   , -   , -   , 252 , 1 , -   , -   , 254 ,
CHACO,O Higgins,San Bernardo,22112030, 147 , -   , -   , 14 , 38 , 3 , -   , -   , 202 ,
CHACO,OTROS,OTROS,Sin Datos, -   , -   , -   , -   , 24 , -   , -   , -   , 24 ,
CHACO,Presidencia de la Plaza,Presidencia de la Plaza,22119010, 139 , 598 , -   , 58 , -   , -   , -   , 1 , 796 ,
CHACO,Quitilipi,Quitilipi,22133010, 634 , -   , -   , 69 , -   , -   , -   , 125 , 828 ,
CHACO,Quitilipi,Villa El Palmar,22133020, -   , -   , -   , -   , -   , -   , -   , 99 , 99 ,
CHACO,San Fernando,Barranqueras,22140010, 115 ," 3,836 ", -   , 147 , -   , -   , -   , 15 ," 4,113 ",
CHACO,San Fernando,Basail,22140020, 72 , 67 , -   , -   , -   , 1 , -   , 57 , 197 ,
CHACO,San Fernando,Fontana,22140040, -   , -   , -   , 179 , -   , -   , -   , 147 , 326 ,
CHACO,San Fernando,OTROS,Sin Datos, -   , -   , -   , -   , -   , 3 , -   , -   , 3 ,
CHACO,San Fernando,Puerto Vilelas,22140050, -   , -   , -   , 9 , -   , 1 , -   , 1 , 11 ,
CHACO,San Fernando,Resistencia,22140060," 4,980 "," 53,594 ", 5 ," 32,971 ", 2 , 6 , -   , 193 ," 91,751 ",
CHACO,San Lorenzo,Samuhú,22147010, -   , -   , -   , -   , -   , 1 , -   , -   , 1 ,
CHACO,San Lorenzo,Villa Berthet,22147020, -   , -   , -   , 32 , -   , 1 , -   , 898 , 931 ,
CHACO,Sargento Cabral,Capitán Solari,22154010, -   , -   , -   , 81 , -   , -   , -   , 30 , 111 ,
CHACO,Sargento Cabral,Colonia Elisa,22154020, -   , -   , -   , -   , -   , 2 , -   , -   , 2 ,
CHACO,Sargento Cabral,Colonias Unidas,22154030, -   , -   , -   , 320 , -   , -   , -   , 15 , 335 ,
CHACO,Sargento Cabral,Las Garcitas,22154050, -   , -   , -   , -   , -   , 1 , -   , 114 , 115 ,
CHACO,Tapenagá,Charadai,22161010, -   , -   , -   , 27 , -   , 1 , -   , -   , 28 ,
CHUBUT,Biedma,Arroyo Verde,26007010, -   , -   , -   , -   , -   , 1 , -   , -   , 1 ,
CHUBUT,Biedma,Puerto Madryn,26007020," 2,850 "," 25,467 ", 187 ," 3,783 "," 5,815 ", 9 , -   ," 2,756 "," 40,867 ",
CHUBUT,Biedma,Puerto Pirámide,26007030, -   , -   , -   , -   , -   , 1 , -   , 106 , 107 ,
CHUBUT,Biedma,Quinta El Mirador,26007040, -   , -   , -   , -   , -   , -   , -   , 22 , 22 ,
CHUBUT,Biedma,Reserva Area Protegida El Doradillo,26007050, -   , -   , -   , -   , -   , -   , -   , 127 , 127 ,
CHUBUT,Cushamen,Cholila,26014020, -   , -   , 1 , -   , -   , 1 , -   , -   , 2 ,
CHUBUT,Cushamen,El Hoyo,26014040, 139 , -   , -   , 685 , -   , -   , -   , 673 ," 1,497 ",
CHUBUT,Cushamen,Epuyén,26014060," 1,184 ", -   , -   , -   , -   , -   , -   , -   ," 1,184 ",
CHUBUT,Cushamen,Gualjaina,26014070, -   , -   , -   , -   , -   , 2 , -   , -   , 2 ,
CHUBUT,Cushamen,Lago Puelo,26014090, 267 , -   , -   , 180 , -   , -   , -   , 720 ," 1,167 ",
CHUBUT,Cushamen,Leleque,26014100, -   , -   , -   , -   , -   , 2 , -   , -   , 2 ,
CHUBUT,Escalante,Comodoro Rivadavia,26021030," 11,887 "," 15,539 ", 234 ," 8,827 ", 163 , 37 , -   ," 16,630 "," 53,317 ",
CHUBUT,Escalante,Diadema Argentina,26021040, -   , -   , -   , -   , -   , -   , -   , 328 , 328 ,
CHUBUT,Escalante,Rada Tilly,26021050, 910 , -   , 33 ," 1,206 ", 20 , -   , -   , 418 ," 2,587 ",
CHUBUT,Escalante,Acceso Norte,26021020, -   , -   , -   , -   , -   , 47 , -   , 49 , 96 ,
CHUBUT,Florentino Ameghino,Camarones,26028010, -   , -   , -   , -   , -   , 1 , -   , 208 , 209 ,
CHUBUT,Florentino Ameghino,Garayalde,26028020, -   , -   , -   , -   , -   , -   , -   , 3 , 3 ,
CHUBUT,Futaleufú,Corcovado,26035020, -   , -   , 1 , -   , -   , 2 , -   , -   , 3 ,
CHUBUT,Futaleufú,Esquel,26035030," 3,136 "," 1,711 ", 38 , -   , 1 , 3 , -   ," 4,047 "," 8,936 ",
CHUBUT,Futaleufú,Los Cipreses,26035050, -   , -   , -   , -   , -   , 2 , -   , -   , 2 ,
CHUBUT,Futaleufú,Trevelín,26035060, 425 , -   , 18 , -   , -   , 1 , -   ," 1,075 "," 1,519 ",
CHUBUT,Futaleufú,Aldea Escolar,26035010, -   , -   , -   , -   , -   , 2 , -   , -   , 2 ,
CHUBUT,Gaiman,28 de Julio,26042040, -   , -   , -   , 12 , 1 , 1 , -   , -   , 14 ,
CHUBUT,Gaiman,Dolavon,26042020, -   , -   , 3 , 55 , 336 , 1 , -   , -   , 395 ,
CHUBUT,Gaiman,Gaiman,26042030, 180 , -   , 14 , 90 , 848 , 2 , -   , -   ," 1,134 ",
CHUBUT,Gaiman,OTROS,Sin Datos, -   , -   , -   , -   , -   , 14 , -   , -   , 14 ,
CHUBUT,Gastre,Blancuntre,26049010, -   , -   , -   , -   , -   , 1 , -   , -   , 1 ,
CHUBUT,Gastre,El Escorial,26049020, -   , -   , -   , -   , -   , 1 , -   , -   , 1 ,
CHUBUT,Gastre,Lagunita Salada,26049040, -   , -   , -   , -   , -   , 1 , -   , 38 , 39 ,
CHUBUT,Gastre,Yala Laubat,26049050, -   , -   , -   , -   , -   , 1 , -   , -   , 1 ,
CHUBUT,Gastre,Gastre,26049030, -   , -   , -   , -   , -   , -   , -   , 147 , 147 ,
CHUBUT,Languiñeo,Aldea Epulef,26056010, -   , -   , -   , -   , -   , 1 , -   , 8 , 9 ,
CHUBUT,Languiñeo,Carrenleufú,26056020, -   , -   , -   , -   , -   , 2 , -   , -   , 2 ,
CHUBUT,Languiñeo,Colan Conhue,26056030, -   , -   , -   , -   , -   , 1 , -   , 8 , 9 ,
CHUBUT,Languiñeo,Paso del Sapo,26056040, -   , -   , -   , -   , -   , 1 , -   , 88 , 89 ,
CHUBUT,Languiñeo,Tecka,26056050, -   , -   , -   , -   , -   , 1 , -   , -   , 1 ,
CHUBUT,Mártires,El Mirasol,26063010, -   , -   , -   , -   , -   , 1 , -   , -   , 1 ,
CHUBUT,Mártires,Las Plumas,26063020, -   , -   , -   , -   , -   , 1 , -   , -   , 1 ,
CHUBUT,Paso de Indios,Cerro Cóndor,26070010, -   , 1 , -   , -   , -   , 1 , -   , -   , 2 ,
CHUBUT,Paso de Indios,Los Altares,26070020, -   , -   , -   , -   , -   , 1 , -   , 1 , 2 ,
CHUBUT,Paso de Indios,Paso de Indios,26070030, -   , -   , -   , -   , -   , 1 , -   , -   , 1 ,
CHUBUT,Rawson,Playa Unión,26077020, 536 , 202 , 11 , 101 , -   , -   , -   , 421 ," 1,271 ",
CHUBUT,Rawson,Rawson,26077030," 1,418 "," 8,686 ", 41 , 774 , 300 , 1 , -   , 343 ," 11,563 ",
CHUBUT,Rawson,Trelew,26077040," 1,493 "," 23,892 ", 274 ," 9,284 "," 1,421 ", 2 , -   ," 1,130 "," 37,496 ",
CHUBUT,Rawson,Playa Magagna,26077010, -   ," 1,700 ", -   , -   , -   , -   , -   , 3 ," 1,703 ",
CHUBUT,Río Senguer,Aldea Apeleg,26084010, -   , -   , -   , -   , -   , 1 , -   , 1 , 2 ,
CHUBUT,Río Senguer,Aldea Beleiro,26084020, -   , -   , -   , -   , -   , 1 , -   , -   , 1 ,
CHUBUT,Río Senguer,Alto Río Senguer,26084030, -   , -   , 1 , -   , -   , 3 , -   , 1 , 5 ,
CHUBUT,Río Senguer,Doctor Ricardo Rojas,26084040, -   , -   , -   , -   , -   , 1 , -   , -   , 1 ,
CHUBUT,Río Senguer,Facundo,26084050, -   , -   , -   , -   , -   , 1 , -   , 41 , 42 ,
CHUBUT,Río Senguer,Lago Blanco,26084060, -   , -   , -   , -   , -   , 1 , -   , -   , 1 ,
CHUBUT,Río Senguer,Río Mayo,26084070, 140 , -   , -   , 4 , -   , 2 , -   , 621 , 767 ,
CHUBUT,Sarmiento,Buen Pasto,26091010, -   , -   , -   , -   , -   , 1 , -   , -   , 1 ,
CHUBUT,Sarmiento,SARMIENTO,26091020," 1,741 ", 1 , -   ," 1,173 ", -   , 1 , -   , 270 ," 3,186 ",
CHUBUT,Tehuelches,Gobernador Costa,26098020, -   , -   , 1 , -   , -   , -   , -   , -   , 1 ,
CHUBUT,Tehuelches,José de San Martín,26098030, -   , -   , -   , -   , -   , 1 , -   , -   , 1 ,
CHUBUT,Tehuelches,Río Pico,26098040, -   , -   , -   , -   , -   , 2 , -   , -   , 2 ,
CHUBUT,Telsen,Gan Gan,26105010, -   , -   , -   , -   , 1 , 1 , -   , 156 , 158 ,
CHUBUT,Telsen,Telsen,26105020, -   , 18 , -   , -   , -   , 4 , -   , 104 , 126 ,
CORDOBA,Calamuchita,Amboy,14007010, -   , -   , -   , -   , -   , -   , -   , 174 , 174 ,
CORDOBA,Calamuchita,Cañada del Sauce,14007030, 1 , -   , -   , -   , -   , -   , -   , -   , 1 ,
CORDOBA,Calamuchita,Capilla Vieja,14007040, -   , -   , -   , -   , -   , -   , -   , 20 , 20 ,
CORDOBA,Calamuchita,El Corcovado - El Torreón,14007050, 52 , -   , -   , -   , -   , -   , -   , 30 , 82 ,
CORDOBA,Calamuchita,Embalse,14007060, -   , -   , -   ," 1,533 ", -   , 1 , -   ," 1,942 "," 3,476 ",
CORDOBA,Calamuchita,La Cruz,14007070, 10 , -   , -   , -   , -   , -   , -   , 383 , 393 ,
CORDOBA,Calamuchita,La Cumbrecita,14007080, -   , -   , -   , -   , -   , -   , -   , 250 , 250 ,
CORDOBA,Calamuchita,Las Bajadas,14007090, -   , -   , -   , -   , -   , -   , -   , 28 , 28 ,
CORDOBA,Calamuchita,Los Cóndores,14007110, 423 , -   , -   , -   , -   , 1 , -   , 516 , 940 ,
CORDOBA,Calamuchita,Los Molinos,14007120, -   , -   , -   , -   , -   , -   , -   , 50 , 50 ,
CORDOBA,Calamuchita,Los Reartes,14007130, 25 , -   , -   , 490 , -   , 1 , -   , 600 ," 1,116 ",
CORDOBA,Calamuchita,Parque Calmayo,14007160, -   , -   , -   , -   , -   , -   , -   , 31 , 31 ,
CORDOBA,Calamuchita,San Agustín,14007180, 110 , -   , -   , -   , -   , -   , -   , 1 , 111 ,
CORDOBA,Calamuchita,San Ignacio (Loteo San Javier),14007190, -   , -   , -   , -   , -   , -   , -   , 19 , 19 ,
CORDOBA,Calamuchita,Santa Rosa de Calamuchita,14007210, 887 ," 1,805 ", -   , 279 , -   , -   , -   ," 3,381 "," 6,352 ",
CORDOBA,Calamuchita,Villa Alpina,14007240, -   , -   , -   , -   , -   , -   , -   , 5 , 5 ,
CORDOBA,Calamuchita,Villa Amancay,14007250, -   , -   , -   , -   , -   , -   , -   , 229 , 229 ,
CORDOBA,Calamuchita,Villa Berna,14007260, 32 , -   , -   , -   , -   , -   , -   , 15 , 47 ,
CORDOBA,Calamuchita,Villa Ciudad Parque Los Reartes (1a. Sección),14007270, -   , -   , -   , -   , -   , -   , -   , 244 , 244 ,
CORDOBA,Calamuchita,Villa del Dique,14007290, 555 , -   , -   , 256 , 128 , -   , -   , 947 ," 1,886 ",
CORDOBA,Calamuchita,Villa General Belgrano,14007310, -   , 31 , -   , -   , -   , 1 , -   ," 1,251 "," 1,283 ",
CORDOBA,Calamuchita,Villa Quillinzo,14007330, -   , -   , -   , -   , -   , -   , -   , 124 , 124 ,
CORDOBA,Calamuchita,Villa Rumipal,14007340, -   , -   , -   , 47 , -   , -   , -   , 980 ," 1,027 ",
CORDOBA,Calamuchita,Villa San Miguel,14007170, -   , -   , -   , -   , -   , -   , -   , 5 , 5 ,
CORDOBA,Calamuchita,Villa Yacanto,14007360, -   , -   , -   , -   , -   , -   , -   , 135 , 135 ,
CORDOBA,Calamuchita,Las Caleras,14007100, -   , -   , -   , -   , -   , -   , -   , 7 , 7 ,
CORDOBA,Calamuchita,Segunda Usina,14007220, -   , -   , -   , -   , -   , -   , -   , 67 , 67 ,
CORDOBA,Calamuchita,Río de los Sauces,14007170, -   , -   , -   , -   , -   , -   , -   , 2 , 2 ,
CORDOBA,Calamuchita,Villa Ciudad Parque Los Reartes,14007170, -   , 400 , -   , -   , -   , -   , -   , 160 , 560 ,
CORDOBA,Calamuchita,Santa Monica,14007170, -   , -   , -   , -   , -   , -   , -   , 106 , 106 ,
CORDOBA,Calamuchita,San Ignacio (Loteo Vélez Crespo),14007170, -   , -   , -   , -   , -   , -   , -   , 9 , 9 ,
CORDOBA,Capital,Córdoba,14014010," 33,288 "," 210,807 ", 42 ," 269,623 "," 1,218 ", 11 , -   ," 4,370 "," 519,359 ",
CORDOBA,Capital,OTROS,Sin Datos, -   , -   , -   , -   , -   , -   , -   , 695 , 695 ,
CORDOBA,Colón,Agua de Oro,14021010, 370 , -   , -   , 65 , -   , -   , -   , 65 , 500 ,
CORDOBA,Colón,Ascochinga,14021020, 120 , -   , -   , 1 , -   , -   , -   , -   , 121 ,
CORDOBA,Colón,Colonia Caroya,14021050, 720 , 564 , -   ," 6,932 ", -   , -   , -   , 41 ," 8,257 ",
CORDOBA,Colón,El Manzano,14021110, 125 , -   , -   , -   , -   , -   , -   , 20 , 145 ,
CORDOBA,Colón,General Paz,14021130, 154 , -   , -   , -   , -   , -   , -   , -   , 154 ,
CORDOBA,Colón,Jesús María,14021140, 790 ," 3,927 ", -   ," 7,438 ", -   , -   , -   , 19 ," 12,174 ",
CORDOBA,Colón,La Calera,14021150," 1,120 "," 7,519 ", -   , 893 , 316 , 1 , -   , 496 ," 10,345 ",
CORDOBA,Colón,La Granja,14021160, 406 , -   , -   , -   , -   , -   , -   , 26 , 432 ,
CORDOBA,Colón,Los Molles,14021180, -   , -   , -   , -   , -   , 2 , -   , -   , 2 ,
CORDOBA,Colón,Malvinas Argentinas,14021190, 404 , -   , -   , -   , -   , -   , -   , 229 , 633 ,
CORDOBA,Colón,Mendiolaza,14021200, 860 ," 2,926 ", -   , 753 , 2 , -   , -   , 215 ," 4,756 ",
CORDOBA,Colón,OTROS,Sin Datos, -   , -   , -   , -   , -   , -   , -   , 287 , 287 ,
CORDOBA,Colón,Pajas Blancas,14021220, -   , -   , -   , -   , -   , -   , -   , 19 , 19 ,
CORDOBA,Colón,Río Ceballos,14021230," 1,133 "," 6,192 ", -   , 14 , 1 , 1 , -   , 444 ," 7,785 ",
CORDOBA,Colón,Saldán,14021240, 29 ," 3,908 ", -   , 19 , -   , -   , -   , 271 ," 4,227 ",
CORDOBA,Colón,Salsipuedes,14021250, 891 , 532 , -   , 135 , -   , 1 , -   , 387 ," 1,946 ",
CORDOBA,Colón,Unquillo,14021280," 2,154 ", 953 , -   , 568 , -   , -   , -   , 603 ," 4,278 ",
CORDOBA,Colón,Villa Allende,14021290, 1 ," 6,952 ", -   ," 1,279 ", 4 , -   , -   , 484 ," 8,720 ",
CORDOBA,Colón,Villa Cerro Azul,14021300, 75 , -   , -   , -   , -   , -   , -   , 20 , 95 ,
CORDOBA,Colón,Villa El Fachinal - Parque Norte - Guiñazú Norte,14021310, 275 , -   , -   , -   , -   , 1 , -   , -   , 276 ,
CORDOBA,Colón,Villa Los Llanos - Juárez Celman,14021320, 356 , -   , -   , 499 , -   , -   , -   , 360 ," 1,215 ",
CORDOBA,Colón,Mi Granja,14021210, -   , -   , -   , 4 , -   , -   , -   , -   , 4 ,
CORDOBA,Cruz del Eje,Alto de los Quebrachos,14028010, -   , -   , -   , -   , 6 , -   , -   , 1 , 7 ,
CORDOBA,Cruz del Eje,Bañado de Soto,14028020, -   , -   , -   , -   , -   , -   , -   , 8 , 8 ,
CORDOBA,Cruz del Eje,Cruz de Caña,14028040, -   , -   , -   , -   , -   , -   , -   , 2 , 2 ,
CORDOBA,Cruz del Eje,Cruz del Eje,14028050, 894 ," 1,733 ", -   , 4 , -   , -   , -   , 575 ," 3,206 ",
CORDOBA,Cruz del Eje,El Brete,14028060, -   , -   , -   , 1 , -   , -   , -   , 65 , 66 ,
CORDOBA,Cruz del Eje,Guanaco Muerto,14028080, -   , -   , -   , -   , -   , -   , -   , 17 , 17 ,
CORDOBA,Cruz del Eje,La Banda,14028090, -   , -   , -   , -   , -   , 1 , -   , -   , 1 ,
CORDOBA,Cruz del Eje,La Batea,14028100, -   , -   , -   , -   , -   , -   , -   , 1 , 1 ,
CORDOBA,Cruz del Eje,La Higuera,14028110, 7 , -   , -   , -   , -   , -   , -   , 2 , 9 ,
CORDOBA,Cruz del Eje,Las Playas,14028130, -   , -   , -   , 1 , -   , -   , -   , 176 , 177 ,
CORDOBA,Cruz del Eje,Los Chañaritos,14028140, -   , -   , -   , 1 , -   , -   , -   , 9 , 10 ,
CORDOBA,Cruz del Eje,Media Naranja,14028150, -   , -   , -   , -   , -   , -   , -   , 60 , 60 ,
CORDOBA,Cruz del Eje,Paso Viejo,14028160, 64 , -   , -   , -   , -   , -   , -   , 54 , 118 ,
CORDOBA,Cruz del Eje,San Marcos Sierra,14028170, -   , 16 , -   , 585 , -   , -   , -   , 180 , 781 ,
CORDOBA,Cruz del Eje,Serrezuela,14028180, 92 , -   , -   , 10 , -   , -   , -   , 2 , 104 ,
CORDOBA,Cruz del Eje,Tuclame,14028190, -   , -   , -   , -   , -   , -   , -   , 13 , 13 ,
CORDOBA,Cruz del Eje,Villa de Soto,14028200, 438 , -   , -   , 495 , -   , 2 , -   , 318 ," 1,253 ",
CORDOBA,Cruz del Eje,Canteras Quilpo,14028030, -   , -   , -   , -   , -   , -   , -   , 2 , 2 ,
CORDOBA,General Roca,Del Campillo,14035010, 608 , -   , -   , 678 , -   , 1 , -   , -   ," 1,287 ",
CORDOBA,General Roca,Hipólito Bouchard,14035030, -   , -   , -   , -   , -   , 1 , -   , -   , 1 ,
CORDOBA,General Roca,Huinca Renancó,14035040, 572 , -   , -   ," 1,294 ", -   , -   , -   ," 1,097 "," 2,963 ",
CORDOBA,General Roca,ITALÓ,14035050, -   , -   , -   , -   , 171 , -   , -   , -   , 171 ,
CORDOBA,General Roca,PINCÉN,14035090, -   , -   , -   , -   , 9 , -   , -   , -   , 9 ,
CORDOBA,General Roca,Villa Huidobro,14035120, -   , 789 , 8 , 2 , -   , 1 , -   ," 1,099 "," 1,899 ",
CORDOBA,General Roca,Villa Valeria,14035140, 678 , -   , -   , -   , -   , 1 , -   , 241 , 920 ,
CORDOBA,General Roca,Santa Magdalena (Est. Jovita),14035110, -   ," 1,666 ", -   , 37 , -   , -   , -   , 82 ," 1,785 ",
CORDOBA,General Roca,Nicolás Bruzzone,14035070, -   , -   , -   , -   , -   , -   , -   , 91 , 91 ,
CORDOBA,General San Martín,Arroyo Cabral,14042020, 3 , 393 , -   , 2 , -   , 1 , -   , 276 , 675 ,
CORDOBA,General San Martín,Ausonia,14042030, -   , -   , -   , 1 , -   , -   , -   , 1 , 2 ,
CORDOBA,General San Martín,Chazón,14042040, -   , 426 , -   , -   , -   , -   , -   , -   , 426 ,
CORDOBA,General San Martín,Etruria,14042050, 19 , 1 , -   , -   , 2 , 1 , -   , -   , 23 ,
CORDOBA,General San Martín,La Laguna,14042060, 524 , -   , -   , -   , -   , -   , -   , -   , 524 ,
CORDOBA,General San Martín,La Playosa,14042080, 650 , -   , -   , -   , -   , 1 , -   , 69 , 720 ,
CORDOBA,General San Martín,Pasco,14042110, -   , -   , -   , 1 , -   , -   , -   , -   , 1 ,
CORDOBA,General San Martín,Silvio Pellico,14042130, 154 , -   , -   , -   , -   , -   , -   , 69 , 223 ,
CORDOBA,General San Martín,Ticino,14042140, -   , 778 , -   , 7 , -   , 2 , -   , -   , 787 ,
CORDOBA,General San Martín,Tío Pujio,14042150, 556 , -   , -   , 2 , -   , -   , -   , 53 , 611 ,
CORDOBA,General San Martín,Villa María,14042170," 2,209 "," 16,330 ", -   ," 12,649 ", -   , 1 , -   ," 1,187 "," 32,376 ",
CORDOBA,General San Martín,Villa Nueva,14042180, 598 ," 2,158 ", -   ," 2,618 ", 1 , 1 , -   , 414 ," 5,790 ",
CORDOBA,General San Martín,Arroyo Algodón,14042010, 159 , -   , -   , 1 , -   , -   , -   , 226 , 386 ,
CORDOBA,General San Martín,La Palestina,14042070, -   , -   , -   , -   , -   , -   , -   , 1 , 1 ,
CORDOBA,Ischilín,Chuña,14049030, -   , -   , -   , -   , -   , 2 , -   , 102 , 104 ,
CORDOBA,Ischilín,Copacabana,14049040, -   , -   , -   , -   , -   , -   , -   , 12 , 12 ,
CORDOBA,Ischilín,Deán Funes,14049050, 717 ," 1,932 ", -   , 740 , -   , 1 , -   , -   ," 3,390 ",
CORDOBA,Ischilín,Esquina del Alambre,14049060, -   , -   , -   , -   , -   , -   , -   , 1 , 1 ,
CORDOBA,Ischilín,Olivares de San Nicolás,14049090, -   , -   , -   , -   , -   , -   , -   , 1 , 1 ,
CORDOBA,Ischilín,Quilino,14049100, 151 , -   , -   , 86 , -   , -   , -   , -   , 237 ,
CORDOBA,Ischilín,Villa Quilino,14049130, -   , -   , -   , 30 , -   , -   , -   , -   , 30 ,
CORDOBA,Juárez Celman,Alejandro Roca (Est. Alejandro),14056010, 357 , -   , -   , -   , -   , -   , -   , 300 , 657 ,
CORDOBA,Juárez Celman,Bengolea,14056030, -   , -   , -   , 269 , -   , -   , -   , -   , 269 ,
CORDOBA,Juárez Celman,Carnerillo,14056040, 66 , -   , -   , 726 , 1 , 1 , -   , 195 , 989 ,
CORDOBA,Juárez Celman,Charras,14056050, -   , -   , -   , 1 , -   , -   , -   , 12 , 13 ,
CORDOBA,Juárez Celman,General Cabrera,14056070, 544 , -   , -   , 1 , -   , -   , -   , -   , 545 ,
CORDOBA,Juárez Celman,General Deheza,14056080, 2 ," 1,281 ", -   ," 3,359 ", 1 , -   , -   , -   ," 4,643 ",
CORDOBA,Juárez Celman,Huanchillas,14056090, -   , -   , -   , 11 , -   , -   , -   , -   , 11 ,
CORDOBA,Juárez Celman,La Carlota,14056100, 709 , -   , -   , -   , -   , -   , -   , -   , 709 ,
CORDOBA,Juárez Celman,Los Cisnes,14056110, 1 , -   , -   , 208 , -   , -   , -   , 39 , 248 ,
CORDOBA,Juárez Celman,Olaeta,14056120, -   , 65 , -   , -   , -   , -   , -   , -   , 65 ,
CORDOBA,Juárez Celman,Santa Eufemia,14056150, -   , 676 , -   , -   , -   , 1 , -   , 64 , 741 ,
CORDOBA,Juárez Celman,Ucacha,14056160, 95 ," 2,019 ", -   , 2 , -   , -   , -   , 82 ," 2,198 ",
CORDOBA,Juárez Celman,Villa Reducción,14056170, -   , -   , -   , -   , -   , -   , -   , 232 , 232 ,
CORDOBA,Marcos Juárez,Alejo Ledesma,14063010, -   , -   , -   , 1 , -   , 3 , -   , 76 , 80 ,
CORDOBA,Marcos Juárez,Arias,14063020, 409 , -   , -   , -   , -   , -   , -   , -   , 409 ,
CORDOBA,Marcos Juárez,Camilo Aldao,14063030," 1,041 ", -   , -   , 543 , 20 , 1 , -   , -   ," 1,605 ",
CORDOBA,Marcos Juárez,Colonia Italiana,14063070, -   , 158 , -   , -   , 31 , -   , -   , 10 , 199 ,
CORDOBA,Marcos Juárez,Corral de Bustos,14063090, 709 ," 4,298 ", -   ," 1,027 "," 1,790 ", -   , -   , 48 ," 7,872 ",
CORDOBA,Marcos Juárez,Cruz Alta,14063100, 620 , -   , -   , -   , -   , 1 , -   , 2 , 623 ,
CORDOBA,Marcos Juárez,General Baldissera,14063110, 451 , -   , -   , -   , -   , 1 , -   , -   , 452 ,
CORDOBA,Marcos Juárez,General Roca,14063120," 1,221 ", -   , -   , 1 , -   , 2 , -   , -   ," 1,224 ",
CORDOBA,Marcos Juárez,Guatimozín,14063130, 811 , -   , -   , -   , 593 , 1 , -   , 23 ," 1,428 ",
CORDOBA,Marcos Juárez,Inriville,14063140, 205 , -   , -   , -   , -   , -   , -   , 89 , 294 ,
CORDOBA,Marcos Juárez,Isla Verde,14063150, 455 , 262 , -   , 211 , -   , -   , -   , -   , 928 ,
CORDOBA,Marcos Juárez,Leones,14063160, 205 ," 2,705 ", -   , 4 , -   , -   , -   , 23 ," 2,937 ",
CORDOBA,Marcos Juárez,Los Surgentes,14063170, 599 , -   , -   , 300 , -   , 1 , -   , -   , 900 ,
CORDOBA,Marcos Juárez,Marcos Juárez,14063180, 322 ," 10,490 ", -   , 9 , -   , -   , -   , 240 ," 11,061 ",
