Provincia,Partido,Localidad,Link Indec,Otros,"0,256 Mbps","0,5 Mbps","0,512 Mbps","0,75 Mbps",1 Mbps,"1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps",3 Mbps,"3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,"10,1 Mbps","10,2 Mbps",11 Mbps,12 Mbps,"12,3 Mbps",13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,20 Mbps,"20,5 Mbps",21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,5 Mbps",26 Mbps,27 Mbps,30 Mbps,31 Mbps,32 Mbps,34 Mbps,35 Mbps,36 Mbps,38 Mbps,39 Mbps,40 Mbps,41 Mbps,45 Mbps,46 Mbps,48 Mbps,49 Mbps,50 Mbps,"50,1 Mbps","50,25 Mbps",51 Mbps,55 Mbps,58 Mbps,59 Mbps,60 Mbps,61 Mbps,62 Mbps,64 Mbps,65 Mbps,66 Mbps,70 Mbps,75 Mbps,78 Mbps,80 Mbps,83 Mbps,85 Mbps,90 Mbps,92 Mbps,95 Mbps,98 Mbps,100 Mbps,"100,1 Mbps","100,25 Mbps",105 Mbps,110 Mbps,120 Mbps,122 Mbps,125 Mbps,126 Mbps,130 Mbps,140 Mbps,150 Mbps,155 Mbps,158 Mbps,160 Mbps,164 Mbps,165 Mbps,180 Mbps,200 Mbps,205 Mbps,212 Mbps,220 Mbps,225 Mbps,240 Mbps,246 Mbps,250 Mbps,256 Mbps,275 Mbps,300 Mbps,320 Mbps,325 Mbps,330 Mbps,340 Mbps,350 Mbps,400 Mbps,450 Mbps,480 Mbps,500 Mbps,512 Mbps,520 Mbps,540 Mbps,600 Mbps,680 Mbps,700 Mbps,800 Mbps,850 Mbps,900 Mbps,999 Mbps,1000 Mbps,1024 Mbps
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020,,,,,,,,,,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Alsina,Maza,6007070,10,,2,,,,,,,,,,,,,386,,,,,,,6,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,,,,,,,,,,,,,,,,,,,,,,,52,,,,1153,,,,,,,,,,,,,22,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,,,,,3,,,,,,,,147,,,,,,,,447,,122,,,,1,,,,1422,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,,,,,,,,,,,,,,632,,,,,7,,28,,45,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040,,,,,,,,,,,12,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,,,,,2,,,1,,,,,40,,,1,,,,,116,,,,,,,,,,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Alberti,Coronel Seguí,6021020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Alberti,Mechita,6021030,,,,,,,,,,,275,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Alberti,Villa Ortiz  (Est. Coronel Mom),6021070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Almirante Brown,Adrogué,6028010,,1,10,1,34,21,,8,,,1,,63,7,,6,12,,,,37,,254,,,,,,,,135,,,,2,,,,,,3,,,,,11552,,,,,,,,,,,,,,510,,,,,,,143,,,,,,,10,,,,,,,,,2583,,,,,,,,,,,1122,,,,,,,1,,,,,,,,,,3870,,,,,,,,,597,,,,,,,,,,,322,
BUENOS AIRES,Almirante Brown,Burzaco,6028010,53,1,9,1,23,15,,77,,,14,,34,115,,17,82,,,,30,,671,,,,,,,,60,,,,1,,,,,,5,,,,,11393,,,,,,,,,,,,,,350,,,,,,,698,,,,,,,34,,,,,,,,,1978,,,,,,,,,,,4263,,,,,,,2,,,,,,,,,,6535,,,,,,,,,1151,,,,,,,,,,,1025,
BUENOS AIRES,Almirante Brown,Claypole,6028010,1,,,,2,6,,,,,2,,3,,,4,5,,,,,,259,,,,,,,,,,,,,,,,,,,,,,,4111,,,,,,,,,,,,,,102,,,,,,,352,,,,,,,7,,,,,,,,,648,,,,,,,,,,,2165,,,,,,,,,,,,,,,,,3055,,,,,,,,,564,,,,,,,,,,,568,
BUENOS AIRES,Almirante Brown,Don Orione,6028010,,,,,,,,,,,,,,,,3,,,,,,,225,,,,,,,,42,,,,,,,,,,2,,,,,5,,,,,,,,,,,,,,14,,,,,,,312,,,,,,,9,,,,,,,,,45,,,,,,,,,,,2051,,,,,,,,,,,,,,,,,2205,,,,,,,,,390,,,,,,,,,,,496,
BUENOS AIRES,Almirante Brown,Glew,6028010,1,,5,,7,4,,15,,,5,,27,29,,9,12,,,,16,,204,,,,,,,,8,,,,,,,,,,27,,,,,11741,,,,,,,,,,,,,,142,,,,,,,356,,,,,,,4,,,,,,,,,670,,,,,,,,,,,3557,,,,,,,,,,,,,,,,,2992,,,,,,,,,579,,,,,,,,,,,740,
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,,,,,,1,,,,,,,2,,,2,1,,,,3,,261,,,,,,,,,,,,,,,,,,2,,,,,1384,,,,,,,,,,,,,,141,,,,,,,292,,,,,,,12,,,,,,,,,1157,,,,,,,,,,,1723,,,,,,,,,,,,,,,,,3079,,,,,,,,,493,,,,,,,,,,,422,
BUENOS AIRES,Almirante Brown,Longchamps,6028010,1,,1,,3,,,,,,3,,21,,,10,1,,,,4,,356,,,,,,,,4,,,,,,,,,,3,,,,,7431,,,,,,,,,,,,,,189,,,,,,,372,,,,,,,12,,,,,,,,,1115,,,,,,,,,,,2650,,,,,,,,,,,,,,,,,3631,,,,,,,,,655,,,,,,,,,,,526,
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,1,,,,,3,,,,,,,,,,5,1,,,,,,74,,,,,,,,,,,,2,,,,,,,,,,,6,,,,,,,,,,,,,,67,,,,,,,172,,,,,,,4,,,,,,,,,380,,,,,,,,,,,1450,,,,,,,,,,,,,,,,,2014,,,,,,,,,373,,,,,,,,,,,362,
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,,,,,,,,,,,,,2,,,2,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,4095,,,,,,,,,,,,,,12,,,,,,,202,,,,,,,4,,,,,,,,,112,,,,,,,,,,,1219,,,,,,,,,,,,,,,,,1396,,,,,,,,,306,,,,,,,,,,,241,
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,1,,3,,10,28,,,,,97,,18,339,,9,52,,,,3,,408,,,,,,,,9,,,,,,,,,,,,,,,9967,,,,,,,,,,,,,,171,,,,,,,464,,,,,,,14,,,,,,,,,1006,,,,,,,,,,,3072,,,,,,,,,,,,,,,,,4324,,,,,,,,,771,,,,,,,,,,,662,
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,1,,1,,4,9,,,,,40,,21,,,1,88,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,3236,,,,,,,,,,,,,,30,,,,,,,178,,,,,,,1,,,,,,,,,126,,,,,,,,,,,1542,,,,,,,,,,,,,,,,,1801,,,,,,,,,327,,,,,,,,,,,342,
BUENOS AIRES,Almirante Brown,San Jose,6028010,,,3,,1,,,,,,,,2,,,5,,,,,,,292,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,59,,,,,,,438,,,,,,,11,,,,,,,,,397,,,,,,,,,,,3114,,,,,,,,,,,,,,,,,3429,,,,,,,,,650,,,,,,,,,,,623,
BUENOS AIRES,AMBA,Otros,Sin Datos,0,,13,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Arrecifes,Arrecifes,6077010,159,,1,,6,137,,275,,,546,,165,292,,,95,,,,285,,10,,,,,,,,451,,,,4483,,,,,,,,,,,3,,,,,,,,,,,,,,1810,,,,,,,,,,,,,,,,,,,,,,,1277,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,,,,,,,,,26,,,,,,,,,,,4,
BUENOS AIRES,Arrecifes,Todd,6077020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Arrecifes,Viña,6077030,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Avellaneda,Avellaneda,6035010,34,,8,5,43,41,,1,,,27,,288,,,12,24,,,,397,,217,,,,,,,,817,,,,24,,,,,,1,,,,,2948,,,,,,,,,,,,,,2594,,,,,,,86,,,,,,,6,,,,,,,,,3403,,,,,,,,,,,801,,,,,,,1,,,,,,,,,,3954,,,,,,,,,618,,,,63,,,,,,,281,
BUENOS AIRES,Avellaneda,Crucesita,6035010,,,,,1,1,,,,,1,,6,,,5,1,,,,3,,93,,,,,,,,1,,,,16,,,,,,2,,,,,13,,,,,,,,,,,,,,2212,,,,,,,86,,,,,,,6,,,,,,,,,2044,,,,,,,,,,,609,,,,,,,,,,,,,,,,,2214,,,,,,,,,333,,,,39,,,,,,,220,
BUENOS AIRES,Avellaneda,Dock Sud,6035010,3,,1,,5,5,,,,,5,,,,,,5,,,,1,,29,,,,,,,,,,,,4,,,,,23,,,,,,3,,,,,,,,,,,,,,1330,,,,,,,29,,,,,,,2,,,,,,,,,495,,,,,,,,,,,262,,,,,,,,,,,,,,,,,324,,,,,,,,,36,,,,26,,,,,,,40,
BUENOS AIRES,Avellaneda,Gerli,6035010,,,1,,2,2,,,,,,,1,,,,,,,,,,240,,,,,,,,,,,,13,,,,,,2,,,,,2,,,,,,,,,,,,,,3629,,,,,,,169,,,,,,,7,,,,,,,,,2341,,,,,,,,,,,943,,,,,,,,,,,,,,,,,2679,,,,,,,,,349,,,,54,,,,,,,258,
BUENOS AIRES,Avellaneda,Pineyro,6035010,1,,4,,2,5,,1,,,,,4,,,6,,,,,2,,187,,,,,,,,1,,,,8,,,,,,,,,,,12,,,,,,,,1,,,,,,2058,,,,,,,134,,,,,,,7,,,,,,,,,1882,,,,,,,,,,,878,,,,,,,,,,,,,,,,,2630,,,,,,,,,345,,,,49,,,,,,2,268,
BUENOS AIRES,Avellaneda,Sarandí,6035010,3,,12,1,35,5,,4,,,2,,215,,,14,,,,,128,,260,,,,,,,,1605,,,,36,,,,,,5,,,,,3394,,,,,,,,,,,,,,6697,,,,,,,217,,,,,,,5,,,,,,,,,4409,,,,,,,,,,,1555,,,,,,,,,,,,,,,,,4576,,,,,,,,,571,,,,101,,,,,,,437,
BUENOS AIRES,Avellaneda,Villa Domínico,6035010,2,,5,,8,9,,2,,,5,,2,,,6,8,,10,,468,,341,,,,,,,,9,,,,37,,,,,,1,,,,,15,,,,4,,,,8,,,,,,5707,,,,,,,254,,,,,,,9,,,,,,,,,3078,,,,,,,,,,,1722,,,,,,,,,,,,,,,,,3767,,,,,,,,,547,,,,63,,,,,,,674,
BUENOS AIRES,Avellaneda,Wilde,6035010,3,,5,,32,6,,2,,,2,,116,,,7,7,,,,261,,375,,,,,,,,1685,,,,67,,,,,,5,,,,,3079,,,,2,,,,1,,,,,,8142,,,,,,,322,,,,,,,18,,,,,,,,,4908,,,,,,,,,,,2199,,,,,,,,,,,,,,,,,5731,,,,,,,,,808,,,,114,,,,,,,574,
BUENOS AIRES,Ayacucho,Ayacucho,6042010,,,,,7,119,,,,,,,109,,,,23,,,,752,,,,,,,,,,1202,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Ayacucho,La Constancia,6042020,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Ayacucho,Solanet,6042030,,,,,,17,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Ayacucho,Udaquiola,6042040,,,,1,,31,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Azul,Azul,6049020,14,,9,,55,171,,819,,,,,754,,,121,2,,,,951,,130,,,,,,,,683,,,,9,,,,,,,,,,,14,,,,,,,,2,,,,,,1118,,,1,,,,,,,,,,,,,,,,,,,,7897,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503,,,,,,,,,231,,,,,,,,,,,24,
BUENOS AIRES,Azul,Cacharí,6049030,,,,,,,,458,,,,,,,,56,5,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Azul,Chillar,6049040,,,,1,,,,8,,,,,,545,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bahía Blanca,Bahía Blanca,6056010,33,2,19,1,184,152,,83,,,323,,1714,200,,362,427,,7,,2856,1,425,,,3,96,,2,3,1263,3,2,,27,,1,,,,75,,,,,1602,,,,,,,,,,,,,,2930,,,,,,59,,,,,,,2,,,,,,,,,,58106,,,,,,,,,,,28548,,,,,,,,,,,,,,,,,25123,,,,,,,,,1637,,,,,,,,,,,111,
BUENOS AIRES,Bahía Blanca,Cabildo,6056020,6,,,,,,,,,,,,,9,,1,10,,,,,,,,,,,,,,,,,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bahía Blanca,General Daniel Cerri  (Est. General Cerri),6056030,,,,,2,,,,,,,,24,,,,11,,,,48,,3,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,622,,,,,,,,,30,,,,,,,,,,,2,
BUENOS AIRES,Bahía Blanca,Ingeniero White,6056020,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Balcarce,Balcarce,6063010,9,,,,24,,,98,,,,,310,,,,327,,,,795,,252,,,,1,,,,611,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,833,,,,,,,,,,,,,,,,,,,,,,,7344,,,,,,,,,,,,,,,,,,,,,,,,,,,,3427,,,,,,,,,153,,,,,,,,,,,27,
BUENOS AIRES,Balcarce,Los Pinos,6063020,5,,,,,,,5,,,,,,,,,17,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Balcarce,Napaleofú,6063030,,,,,,38,,,,,23,,,,,,56,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
